123047,1,PDFGeneration,1/14/2015 14:52:02 PM,Failed,1/14/2015 14:49:59 PM,basic.step,testScripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2438,Passed,"",basic.init,
"Launch Browser: InternetExplorer 9.10.9200.17183",,1955,Passed,"",basic.step,
"Iteration Total (sec)",,120336,Failed,"",basic.iteration,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[1] Google (/)",,28679,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,82,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=wTS2VOO9PM6AuAS-voGoAw&gws_rd=ssl",16,11331,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,2011,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",19,399,Passed,"",ft.action,
"Think: 1.47 (sec).",,1505,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",20,350,Passed,"",ft.action,
"Think: 2.947 (sec).",,2998,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",21,124,Passed,"",ft.action,
"Think: 4.855 (sec).",,4876,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",22,449,Passed,"",ft.action,
"Think: 1.216 (sec).",,1247,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",23,111,Passed,"",ft.action,
"Think: 1.536 (sec).",,1560,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",24,541,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[2] Google (/)",,3043,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=wTS2VOO9PM6AuAS-voGoAw&gws_rd=ssl#q=oracle+application+testing+suite+pdf",25,483,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1926,Passed,"",basic.comment,
"mouseClick",27,364,Passed,"",ft.action,
"Find Object",,60697,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"clickButton",,60991,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"Finish Total (sec)",,54,Passed,"",basic.finish,
